INVESTPREV	SEGURADORA	S/A	Balancete	Contábil	Analítico	01/02/2020	a	29/02/2020	Folha:	1				
2.4.1.8.1	201550	LUCROS	ACUMULADOS	-20,92	0	0	0	-20,92						
														
2.4.1.8.1.0	2547	LUCROS	ACUMULADOS	-20,92	0	0	0	-20,92						
														
2.4.1.8.1.0.0	2548	LUCROS	ACUMULADOS	-20,92	0	0	0	-20,92						
														
2.4.1.8.1.0.0.0	2549	LUCROS	ACUMULADOS	-20,92	0	0	0	-20,92						
														
2.4.1.8.1.0.0.0.0	65369	LUCROS	ACUMULADOS	-20,92	0	0	0	-20,92						
														
2.4.1.8.1.0.0.0.0.0	65370	LUCROS	ACUMULADOS	-20,92	0	0	0	-20,92						
2.4.1.8.1.0.0.0.0.0.0002	250250	EXERCICIO	ATUAL	-20,92	0	0	0	-20,92						
														
2.4.1.9	228516	ACOES	EM	TESOURARIA	67,43	0	0	0	67,43					
														
2.4.1.9.1	228525	ACOES	EM	TESOURARIA	67,43	0	0	0	67,43					
														
2.4.1.9.1.0	473	AÇÕES	EM	TESOURARIA	67,43	0	0	0	67,43					
														
2.4.1.9.1.0.0	478	AÇÕES	EM	TESOURARIA	67,43	0	0	0	67,43					
														
2.4.1.9.1.0.0.0	479	AÇÕES	EM	TESOURARIA	67,43	0	0	0	67,43					
														
2.4.1.9.1.0.0.0.0	483	AÇOES	EM	TESOURARIA	67,43	0	0	0	67,43					
														
2.4.1.9.1.0.0.0.0.0	484	AÇÕES	EM	TESOURARIA	67,43	0	0	0	67,43					
2.4.1.9.1.0.0.0.0.0.0001	488	AÇÕES	EM	TESOURARIA	67,43	0	0	0	67,43					
														
3	300000	CONTAS	DE	RESULTADO	-745.375,73	20.378.137,69	-20.263.482,06	114.655,63	-630.720,10					
														
3.1	305682	OPERACOES	DE	SEGUROS	-2.747.786,62	17.064.716,88	-19.921.810,19	-2.857.093,31	-5.604.879,93					
														
3.1.1	300019	PREMIOS	GANHOS	-10.296.973,74	3.048.150,52	-13.076.044,57	-10.027.894,05	-20.324.867,79						
														
3.1.1.1	300028	PRÊMIOS	EMITIDOS	-11.003.199,65	3.002.568,91	-11.906.081,84	-8.903.512,93	-19.906.712,58						
														
3.1.1.1.1	300037	PRÊMIOS	DE	SEGUROS	-11.003.199,65	3.002.568,91	-11.906.081,84	-8.903.512,93	-19.906.712,58					
														
3.1.1.1.1.1	317634	DIRETOS	-10.729.178,28	2.599.275,88	-11.816.757,06	-9.217.481,18	-19.946.659,46							
3.1.1.1.1.1.1	311111	PREMIOS	-	RISCOS	EMITIDOS	-12.774.964,36	0	-11.816.757,06	-11.816.757,06	-24.591.721,42				
3.1.1.1.1.1.5	311113	PREMIOS	CANCELADOS	1.950.843,16	2.473.188,75	0	2.473.188,75	4.424.031,91						
3.1.1.1.1.1.6	311118	PREMIOS	RESTITUIDOS	94.942,92	126.087,13	0	126.087,13	221.030,05						
														
3.1.1.1.1.5	311133	PREMIOS	-	RISCOS	VIGENTES	NAO	EMITIDOS	-274.021,37	403.293,03	-89.324,78	313.968,25	39.946,88		
3.1.1.1.1.5.1	311134	PREMIOS	-274.021,37	403.293,03	-89.324,78	313.968,25	39.946,88							
														
3.1.1.8	311801	VARIACAO	DAS	PROVISOES	TECNICAS	706.225,91	45.581,61	-1.169.962,73	-1.124.381,12	-418.155,21				
														
3.1.1.8.1	311802	PROVISAO	DE	PREMIO	NAO	GANHO	702.335,64	14.829,32	-1.169.962,73	-1.155.133,41	-452.797,77			
3.1.1.8.1.1	311803	DIRETO	489.487,09	12.139,66	-894.914,35	-882.774,69	-393.287,60							
3.1.1.8.1.5	311805	PREMIOS	-	RISCOS	VIGENTES	NAO	EMITIDOS	212.848,55	2.689,66	-275.048,38	-272.358,72	-59.510,17		
														
3.1.1.8.8	311884	OUTRAS	PROVISOES	TECNICAS	3.890,27	30.752,29	0	30.752,29	34.642,56					
3.1.1.8.8.9	311905	OUTRAS	PROV	-	PROV	VLRS	A	REGULARIZAR	3.890,27	30.752,29	0	30.752,29	34.642,56	
														
3.1.3	301569	SINISTROS	OCORRIDOS	4.831.780,24	4.562.758,70	-1.146.377,41	3.416.381,29	8.248.161,53						
														
3.1.3.1	301578	SINISTROS	4.109.526,75	4.300.662,35	-990.279,64	3.310.382,71	7.419.909,46							
														
3.1.3.1.1	301587	INDENIZACOES	AVISADAS	3.999.211,49	4.141.575,32	-989.210,97	3.152.364,35	7.151.575,84						
														
3.1.3.1.1.1	301596	ADMINISTRATIVAS	3.314.069,94	3.974.177,23	-854.833,28	3.119.343,95	6.433.413,89							
3.1.3.1.1.1.1	319245	DIRETO	3.314.069,94	3.974.177,23	-854.833,28	3.119.343,95	6.433.413,89							
														
3.1.3.1.1.2	48111	JUDICIAIS	319.312,76	100.764,45	-13.259,08	87.505,37	406.818,13							
3.1.3.1.1.2.1	319902	DIRETO	319.312,76	100.764,45	-13.259,08	87.505,37	406.818,13							
														
3.1.3.1.1.3	525	VARIAÇÃO	DE	SINISTROS	IBNER	-	AJUSTE	PSL	365.828,79	66.633,64	-121.118,61	-54.484,97	311.343,82	
3.1.3.1.1.3.1	526	DIRETO	231.534,60	60.466,38	-116.211,09	-55.744,71	175.789,89							
														
3.1.3.1.1.3.3	627	VARIAÇÃO	PDR	IBNER	134.294,19	6.167,26	-4.907,52	1.259,74	135.553,93					
3.1.3.1.1.3.3.2	629	VARIAÇÃO	PDR	IBNER	-	JUD	134.294,19	6.167,26	-4.907,52	1.259,74	135.553,93			
														
3.1.3.1.3	255	DESPESAS	COM	SINISTROS	110.315,26	159.087,03	-1.068,67	158.018,36	268.333,62					
														
3.1.3.1.3.1	256	ADMINISTRATIVA	67.557,17	130.227,12	0	130.227,12	197.784,29							
3.1.3.1.3.1.1	257	DIRETO	67.557,17	130.227,12	0	130.227,12	197.784,29							
														
3.1.3.1.3.2	125	JUDICIAIS	42.758,09	28.859,91	-1.068,67	27.791,24	70.549,33							
3.1.3.1.3.2.1	130	DIRETO	42.758,09	28.859,91	-1.068,67	27.791,24	70.549,33							
3.1.3.3	246	SALVADOS	-25.554,20	4.794,00	-20.237,85	-15.443,85	-40.998,05							
														
3.1.3.3.1	247	SALVADOS	-25.554,20	4.794,00	-20.237,85	-15.443,85	-40.998,05							
3.1.3.3.1.1	248	DIRETO	-25.554,20	4.794,00	-20.237,85	-15.443,85	-40.998,05							
														
3.1.3.4	54700	RESSARCIMENTOS	-86.720,92	0	-35.870,73	-35.870,73	-122.591,65							
														
3.1.3.4.1	54715	RESSARCIMENTOS	-86.720,92	0	-35.870,73	-35.870,73	-122.591,65							
3.1.3.4.1.1	54720	DIRETO	-86.720,92	0	-35.870,73	-35.870,73	-122.591,65							
														
3.1.3.5	328778	VARIAC	PROV	SINISTRO	OCORR	MAS	NAO	AVIS	554.024,08	233.860,75	-91.385,23	142.475,52	696.499,60	
														
3.1.3.5.1	328787	PROV.	SINISTROS	OCORRIDOS	NAO	AVISADOS	554.024,08	233.860,75	-91.385,23	142.475,52	696.499,60			
3.1.3.5.1.1	328796	DIRETO	554.024,08	233.860,75	-91.385,23	142.475,52	696.499,60							
														
3.1.3.6	329253	VARIAÇÃO	DE	DESP	RELACIONADAS	DO	IBNR	266.212,35	6.166,62	-8.603,96	-2.437,34	263.775,01		
														
3.1.3.6.1	329262	VARIAÇÃO	DE	DESP	RELACIONADAS	DO	IBNR	266.212,35	6.166,62	-8.603,96	-2.437,34	263.775,01		
														
3.1.3.6.1.1	329271	DIRETO	266.212,35	6.166,62	-8.603,96	-2.437,34	263.775,01							
														
3.1.3.6.1.1.1	47574	DIRETO	266.212,35	6.166,62	-8.603,96	-2.437,34	263.775,01							
3.1.3.6.1.1.1.1	414	VAR	DESP	RELAC	IBNR	-	ADMINISTRATIVO	222.242,40	1.972,52	-7.491,50	-5.518,98	216.723,42		
3.1.3.6.1.1.1.2	426	VAR	DESP	RELAC	IBNR	-	JUDICIAL	43.969,95	4.194,10	-1.112,46	3.081,64	47.051,59		
														
3.1.3.7	297	SERVIÇOS	DE	ASSISTENCIA	14.292,18	17.274,98	0	17.274,98	31.567,16					
3.1.3.7.1	299	ASSISTENCIA	24	HORAS	14.292,18	17.274,98	0	17.274,98	31.567,16					
														
3.1.4	384810	CUSTO	DE	AQUISIÇÃO	1.790.778,82	2.418.794,41	-480.275,85	1.938.518,56	3.729.297,38					
														
3.1.4.1	384820	COMISSOES	SOBRE	PREMIOS	RETIDOS	1.872.990,25	2.257.268,89	-478.513,85	1.778.755,04	3.651.745,29				
														
3.1.4.1.1	329442	COMISSAO	S/	PREMIOS	EMITIDOS	1.872.990,25	2.257.268,89	-478.513,85	1.778.755,04	3.651.745,29				
														
3.1.4.1.1.1	302080	DIRETO	1.872.990,25	2.257.268,89	-478.513,85	1.778.755,04	3.651.745,29							
3.1.4.1.1.1.1	48775	RISCOS	VIGENTES	1.871.376,39	2.256.494,70	-457.403,57	1.799.091,13	3.670.467,52						
3.1.4.1.1.1.2	48780	RISCOS	VIGENTES	NAO	EMITIDOS	1.613,86	774,19	-21.110,28	-20.336,09	-18.722,23				
														
3.1.4.5	314511	VARIACAO	DESPESAS	COMERCIALIZ	DIFERIDAS	-82.211,43	161.525,52	-1.762,00	159.763,52	77.552,09				
														
3.1.4.5.1	314512	VARIACAO	DE	COMISSOES	DIFERIDAS	-81.986,02	161.214,64	-1.762,00	159.452,64	77.466,62				
														
3.1.4.5.1.1	235	DIRETO	-81.986,02	161.214,64	-1.762,00	159.452,64	77.466,62							
3.1.4.5.1.1.1	236	RISCOS	EMITIDOS	-78.382,04	147.776,78	-1.727,03	146.049,75	67.667,71						
3.1.4.5.1.1.2	634	RISCOS	VIGENTES	NÃO	EMITIDOS	-3.603,98	13.437,86	-34,97	13.402,89	9.798,91				
														
3.1.4.5.8	150	VARIAÇÃO	OUTROS	CUSTOS	AQUIS	DIFERIDOS	-225,41	310,88	0	310,88	85,47			
3.1.4.5.8.1	151	VAR	OUTROS	CUSTOS	AQUIS	DIFER	-	PRÓ-LAB	-225,41	310,88	0	310,88	85,47	
														
3.1.5	50753	OUTRAS	RECEITAS	E	DESPESAS	OPERACIONAIS	276.714,89	3.232.139,87	-2.449.903,23	782.236,64	1.058.951,53			
														
3.1.5.1	50768	OUTRAS	RECEITAS	OPERACIONAIS	-864.081,76	15.456,11	-523.900,07	-508.443,96	-1.372.525,72					
														
3.1.5.1.8	54844	OUTRAS	RECEITAS	C/	OP.	DE	SEGUROS	-171.819,76	15.456,11	-0,04	15.456,07	-156.363,69		
														
3.1.5.1.8.9	54864	OUTRAS	RECEITAS	-171.819,76	15.456,11	-0,04	15.456,07	-156.363,69						
														
3.1.5.1.8.9.8	54879	OUTRAS	-171.819,76	15.456,11	-0,04	15.456,07	-156.363,69							
														
3.1.5.1.8.9.8.0	51365	OUTRAS	RECEITAS	-171.819,76	15.456,11	-0,04	15.456,07	-156.363,69						
														
3.1.5.1.8.9.8.0.0	65387	OUTRAS	RECEITAS	-171.819,76	15.456,11	-0,04	15.456,07	-156.363,69						
														
3.1.5.1.8.9.8.0.0.0	65388	OUTRAS	RECEITAS	-171.819,76	15.456,11	-0,04	15.456,07	-156.363,69						
3.1.5.1.8.9.8.0.0.0.0003	315191	IRB	-	RECEBIMENTOS	-15.456,11	15.456,11	0	15.456,11	0					
3.1.5.1.8.9.8.0.0.0.0008	396	OUTRAS	RECEITAS	-	AJUSTES	OPERACIONAIS	-156.363,65	0	-0,04	-0,04	-156.363,69			
														
3.1.5.1.9	315201	OUTRAS	RECEITAS	-	CONSORCIO	DPVAT	-692.262,00	0	-523.900,03	-523.900,03	-1.216.162,03			
														
3.1.5.1.9.1	315202	CONSORCIO	DPVAT	-692.262,00	0	-523.900,03	-523.900,03	-1.216.162,03						
														
3.1.5.1.9.1.0	315203	CONSORCIO	-	DPVAT	-692.262,00	0	-523.900,03	-523.900,03	-1.216.162,03					
														
3.1.5.1.9.1.0.0	315204	CONSORCIO	-	DPVAT	-692.262,00	0	-523.900,03	-523.900,03	-1.216.162,03					
														
3.1.5.1.9.1.0.0.0	65389	CONSORCIO	-	DPVAT	-692.262,00	0	-523.900,03	-523.900,03	-1.216.162,03					
														
3.1.5.1.9.1.0.0.0.0	65390	CONSORCIO	-	DPVAT	-692.262,00	0	-523.900,03	-523.900,03	-1.216.162,03					
3.1.5.1.9.1.0.0.0.0.0002	315002	CONSORCIO	DPVAT	SEGURADORA	LIDER	0	0	-19.568,03	-19.568,03	-19.568,03				
3.1.5.1.9.1.0.0.0.0.0003	503	CONSORCIO	DPVAT	-REGULAÇAO	-503.612,00	0	-351.662,00	-351.662,00	-855.274,00					
3.1.5.1.9.1.0.0.0.0.0004	504	CONSORCIO	DPVAT	-	RECEPÇÃO	-188.650,00	0	-152.670,00	-152.670,00	-341.320,00				
														
3.1.5.2	50773	OUTRAS	DESPESAS	OPERACIONAIS	1.140.796,65	3.216.683,76	-1.926.003,16	1.290.680,60	2.431.477,25					
														
3.1.5.2.2	55416	DESPESAS	COM	COBRANCA	121.860,10	143.674,41	0	143.674,41	265.534,51					
														
3.1.5.2.2.4	315220	CONSORCIO	DPVAT	121.860,10	143.674,41	0	143.674,41	265.534,51						
														
3.1.5.2.2.4.0	315221	CONSORCIO	DPVAT	121.860,10	143.674,41	0	143.674,41	265.534,51						
														
3.1.5.2.2.4.0.0	315222	CONSORCIO	DPVAT	121.860,10	143.674,41	0	143.674,41	265.534,51						
														
3.1.5.2.2.4.0.0.0	65391	CONSORCIO	DPVAT	121.860,10	143.674,41	0	143.674,41	265.534,51						
														
3.1.5.2.2.4.0.0.0.0	65392	CONSORCIO	DPVAT	121.860,10	143.674,41	0	143.674,41	265.534,51						
3.1.5.2.2.4.0.0.0.0.0588	315588	CONSORCIO	DPVAT	121.860,10	143.674,41	0	143.674,41	265.534,51						
														
3.1.5.2.7	54908	REDUCAO	AO	VALOR	RECUPERAVEL	P/	RECEBIV	794.999,73	2.909.977,50	-1.921.003,16	988.974,34	1.783.974,07		
														
3.1.5.2.7.1	54928	PREMIOS	A	RECEBER	475.985,93	2.861.927,64	-1.863.589,34	998.338,30	1.474.324,23					
														
3.1.5.2.7.1.0	220	PREMIOS	A	RECEBER	475.985,93	2.861.927,64	-1.863.589,34	998.338,30	1.474.324,23					
														
3.1.5.2.7.1.0.0	220	PREMIOS	A	RECEBER	475.985,93	2.861.927,64	-1.863.589,34	998.338,30	1.474.324,23					
														
3.1.5.2.7.1.0.0.0	65511	PREMIOS	A	RECEBER	475.985,93	2.861.927,64	-1.863.589,34	998.338,30	1.474.324,23					
														
3.1.5.2.7.1.0.0.0.0	65512	PREMIOS	A	RECEBER	475.985,93	2.861.927,64	-1.863.589,34	998.338,30	1.474.324,23					
3.1.5.2.7.1.0.0.0.0.0002	588	PREMIOS	A	RECEBER	-	DEDUTIVEL	47.020,99	258.828,22	-115.371,84	143.456,38	190.477,37			
3.1.5.2.7.1.0.0.0.0.0003	589	PREMIOS	A	RECEBER	-	NÃO	DEDUTIVEL	428.964,94	2.603.099,42	-1.748.217,50	854.881,92	1.283.846,86		
														
3.1.5.2.7.2	54933	OUTROS	CREDITOS	OPERACIONAIS	319.013,80	48.049,86	-57.413,82	-9.363,96	309.649,84					
														
3.1.5.2.7.2.0	436	RED	VLR	RECUP	-	OUTROS	CRED	OPERACIONAIS	319.013,80	48.049,86	-57.413,82	-9.363,96	309.649,84	
														
3.1.5.2.7.2.0.0	437	RED	VLR	RECUP	-	OUTROS	CRÉD	OPERACIONAIS	319.013,80	48.049,86	-57.413,82	-9.363,96	309.649,84	
														
3.1.5.2.7.2.0.0.0	438	RED	VLR	RECUP	-	OUTROS	CRED	OPERACIONAIS	319.013,80	48.049,86	-57.413,82	-9.363,96	309.649,84	
														
3.1.5.2.7.2.0.0.0.0	439	RED	VLR	RECUP	-	OUTROS	CRED	OPERACIONAIS	319.013,80	48.049,86	-57.413,82	-9.363,96	309.649,84	
3.1.5.2.7.2.0.0.0.0.0001	440	RED	VLR	RECUP	#NOME?	PAGOS	RESSEGURO	319.013,80	48.049,86	-57.413,82	-9.363,96	309.649,84		
														
3.1.5.2.8	54973	OUTRAS	DESPESAS	C/	OPERACOES	DE	SEGUROS	216.851,32	160.549,98	-5.000,00	155.549,98	372.401,30		
														
3.1.5.2.8.1	54988	DIRETO	66.043,36	57.670,00	0	57.670,00	123.713,36							
														
3.1.5.2.8.1.0	208	OUTRAS	DESP	OPER	DIRETO	66.043,36	57.670,00	0	57.670,00	123.713,36				
														
3.1.5.2.8.1.0.0	209	OUTRAS	DESP	OPER	DIRETO	66.043,36	57.670,00	0	57.670,00	123.713,36				
														
3.1.5.2.8.1.0.0.0	210	OUTRAS	DESP	OPER	DIRETO	66.043,36	57.670,00	0	57.670,00	123.713,36				
														
3.1.5.2.8.1.0.0.0.0	211	OUTRAS	DESP	OPER	DIRETO	66.043,36	57.670,00	0	57.670,00	123.713,36				
3.1.5.2.8.1.0.0.0.0.0004	448	OUTRAS	DESP	OPER	SEGS-REG.DANOS	CORP-	AZ	53.825,00	53.825,00	0	53.825,00	107.650,00		
3.1.5.2.8.1.0.0.0.0.0007	505	RESULT	APL	DUDA	IMÓVEIS	-	PORTOALEGRENSE	4.713,24	0	0	0	4.713,24		
3.1.5.2.8.1.0.0.0.0.0008	489	RESULT	APL	PREDIAL	LEINDECKER-	PORTOALEG	7.505,12	0	0	0	7.505,12			
3.1.5.2.8.1.0.0.0.0.0017	688	OUTRAS	DESP	OPER	SEGS-VIST	CONTRAT	SEGS	0	3.845,00	0	3.845,00	3.845,00		
														
3.1.5.2.8.9	315289	OUTRAS	DESPESAS	150.807,96	102.879,98	-5.000,00	97.879,98	248.687,94						
														
3.1.5.2.8.9.8	315290	OUTRAS	DESPESAS	150.807,96	102.879,98	-5.000,00	97.879,98	248.687,94						
														
3.1.5.2.8.9.8.0	315291	OUTRAS	DESPESAS	150.807,96	102.879,98	-5.000,00	97.879,98	248.687,94						
														
3.1.5.2.8.9.8.0.0	65397	OUTRAS	DESPESAS	150.807,96	102.879,98	-5.000,00	97.879,98	248.687,94						
														
3.1.5.2.8.9.8.0.0.0	65398	OUTRAS	DESPESAS	150.807,96	102.879,98	-5.000,00	97.879,98	248.687,94						
3.1.5.2.8.9.8.0.0.0.0003	304	SERASA	S.A.	5.847,71	0	0	0	5.847,71						
3.1.5.2.8.9.8.0.0.0.0005	392	THAYS	SILVA	ME	-	ASSESSORIA/PRO-LABORE	13.927,85	15.029,71	-5.000,00	10.029,71	23.957,56			
3.1.5.2.8.9.8.0.0.0.0007	519	GARANTIA	SEGS	RECIFE	-	ASSESSORIA	18.085,99	14.007,65	0	14.007,65	32.093,64			
3.1.5.2.8.9.8.0.0.0.0008	520	GARANTIA	FORTALEZA	-	ASSESSORIA	13.651,78	11.458,80	0	11.458,80	25.110,58				
3.1.5.2.8.9.8.0.0.0.0010	522	GAIA	REPRESENTAÇÕES	-	ASSESSORIA	9.700,16	5.765,08	0	5.765,08	15.465,24				
3.1.5.2.8.9.8.0.0.0.0011	523	GARANTIA	JOÃO	PESSOA	-	ASSESSORIA	2.143,92	1.803,60	0	1.803,60	3.947,52			
3.1.5.2.8.9.8.0.0.0.0012	524	MEDEIROS	&	FRANÇA	REPRES	-	ASSESSORIA	1.234,29	1.457,06	0	1.457,06	2.691,35		
3.1.5.2.8.9.8.0.0.0.0014	531	TOTAL	TEAM	CONSULT	-	ASSESSORIA	22.872,04	0	0	0	22.872,04			
3.1.5.2.8.9.8.0.0.0.0015	547	GARANTIA	NATAL	-	ASSESSORIA	250,56	303,49	0	303,49	554,05				
3.1.5.2.8.9.8.0.0.0.0016	575	CORPAR	ASSESSORIA	E	CONS	COML-ASSESSORIA	1.702,25	0	0	0	1.702,25			
3.1.5.2.8.9.8.0.0.0.0017	582	TARJA	SERV	TECNICO	-	ASSESSORIA	19.007,35	17.221,74	0	17.221,74	36.229,09			
3.1.5.2.8.9.8.0.0.0.0018	583	GENICE	LOPES	ME	-	ASSESSORIA	7.449,96	6.129,24	0	6.129,24	13.579,20			
3.1.5.2.8.9.8.0.0.0.0019	594	RENASEG	ASSESSORIA	SEGS	LTDA	#NOME?	7.869,63	5.918,62	0	5.918,62	13.788,25			
3.1.5.2.8.9.8.0.0.0.0020	596	JOMPLC	UNIAO	SEC	DO	CENTRO	OESTE	CONSULT	6.906,29	5.957,17	0	5.957,17	12.863,46	
3.1.5.2.8.9.8.0.0.0.0021	644	ICC	ASSESSORIA	ADMINISTRATIVA	LTDA	879,81	467,42	0	467,42	1.347,23				
3.1.5.2.8.9.8.0.0.0.0023	647	GERES	ASSESSORIA	ADM	-	ASSESSORIA	3.907,90	4.181,02	0	4.181,02	8.088,92			
3.1.5.2.8.9.8.0.0.0.0024	700	RAMAVI	ASSES	E	CONS	EMPR	LTDA-ASSESSORIA	11.391,57	9.330,76	0	9.330,76	20.722,33		
3.1.5.2.8.9.8.0.0.0.0025	702	STRAGEVITCH	SERV	ASSESS	-	ASSESSORIA	1.302,91	1.463,83	0	1.463,83	2.766,74			
3.1.5.2.8.9.8.0.0.0.0027	739	BMR	ASSESSORIA	EM	SEGUROS	LTDA	2.540,10	2.162,93	0	2.162,93	4.703,03			
3.1.5.2.8.9.8.0.0.0.0028	748	EXCLUSIVA	ASSESSORIA	E	REPRESENT	COMERC	135,89	221,86	0	221,86	357,75			
														
3.1.5.2.9	50788	DESPESAS	DIVERSAS	7.085,50	2.481,87	0	2.481,87	9.567,37						
														
3.1.5.2.9.1	41	DESPESAS	COM	PROVISÕES	-3.092,78	2.481,86	0	2.481,86	-610,92					
3.1.5.2.9.1.3	42	PROVISÕES	CIVEIS	-	NÃO	DEDUTIVEL	-3.092,78	0	0	0	-3.092,78			
3.1.5.2.9.1.4	442	PROVISÕES	CIVEIS	-	EFETIVA	0	2.481,86	0	2.481,86	2.481,86				
														
3.1.5.2.9.8	50793	OUTRAS	DESPESAS	10.178,28	0,01	0	0,01	10.178,29						
														
3.1.5.2.9.8.0	50802	OUTRAS	DESPESAS	10.178,28	0,01	0	0,01	10.178,29						
														
3.1.5.2.9.8.0.0	50817	OUTRAS	DESPESAS	10.178,28	0,01	0	0,01	10.178,29						
														
3.1.5.2.9.8.0.0.0	65401	OUTRAS	DESPESAS	10.178,28	0,01	0	0,01	10.178,29						
														
3.1.5.2.9.8.0.0.0.0	65402	OUTRAS	DESPESAS	10.178,28	0,01	0	0,01	10.178,29						
3.1.5.2.9.8.0.0.0.0.0002	359	OUTRAS	DESPESAS	-	AJUSTES	OPERACIONAIS	10.178,28	0,01	0	0,01	10.178,29			
3.1.9	53	RESULTADO	COM	OPERAÇÃO	DE	RESSEGUROS	649.913,17	3.802.873,38	-2.769.209,13	1.033.664,25	1.683.577,42			
														
3.1.9.1	33	RECEITA	COM	RESSEGUROS	-1.264.821,14	190.596,47	-1.084.994,04	-894.397,57	-2.159.218,71					
														
3.1.9.1.1	98	INDENIZAÇÃO	DE	SINISTROS	-1.096.709,76	135.329,18	-1.043.800,00	-908.470,82	-2.005.180,58					
														
3.1.9.1.1.1	99	DIRETO	-997.495,83	100.086,06	-1.030.358,82	-930.272,76	-1.927.768,59							
3.1.9.1.1.1.1	100	RESSEGURADORA	LOCAL	-971.635,65	95.245,28	-1.020.103,98	-924.858,70	-1.896.494,35						
3.1.9.1.1.1.2	336	RESSEGURADORA	ADMITIDA	-25.860,18	4.840,78	-10.254,84	-5.414,06	-31.274,24						
														
3.1.9.1.1.9	608	VARIAÇÃO	DE	SINISTROS	IBNER	-	PSL	-99.213,93	35.243,12	-13.441,18	21.801,94	-77.411,99		
														
3.1.9.1.1.9.1	609	DIRETO	-55.187,48	32.002,50	-12.875,12	19.127,38	-36.060,10							
3.1.9.1.1.9.1.2	611	VARIAÇÃO	DE	SINISTROS	IBNER	-	PSL	JUD	-55.187,48	32.002,50	-12.875,12	19.127,38	-36.060,10	
														
3.1.9.1.1.9.2	612	PDR	IBNER	-44.026,45	3.240,62	-566,06	2.674,56	-41.351,89						
3.1.9.1.1.9.2.1	613	VARIAÇÃO	PDR	IBNER	-	PSL	-44.026,45	3.240,62	-566,06	2.674,56	-41.351,89			
														
3.1.9.1.2	258	DESPESAS	COM	SINISTROS	-38.921,28	400	-41.105,29	-40.705,29	-79.626,57					
														
3.1.9.1.2.1	259	DIRETO	-38.921,28	400	-41.105,29	-40.705,29	-79.626,57							
3.1.9.1.2.1.1	260	RESSEGURADORA	LOCAL	-35.994,55	200	-38.233,84	-38.033,84	-74.028,39						
3.1.9.1.2.1.2	338	RESSEGURADORA	ADMITIDA	-2.926,73	200	-2.871,45	-2.671,45	-5.598,18						
														
3.1.9.1.3	143	VAR	PROV	SIN	OCORRID	MAS	NÃO	AVISADOS	-31.677,91	50.145,52	-68,06	50.077,46	18.399,55	
														
3.1.9.1.3.1	144	PROV	SIN	OCORRIDOS	MAS	NÃO	AVISADOS	-31.677,91	50.145,52	-68,06	50.077,46	18.399,55		
3.1.9.1.3.1.1	145	DIRETO	-31.677,91	50.145,52	-68,06	50.077,46	18.399,55							
														
3.1.9.1.4	605	VARIAÇÃO	DE	DESPESAS	RELACIONADAS	IBNR	-97.512,19	4.721,77	-20,69	4.701,08	-92.811,11			
3.1.9.1.4.1	606	VARIAÇÃO	DESP	RELAC	IBNR	-	ADM	-88.252,05	4.180,93	-20,39	4.160,54	-84.091,51		
3.1.9.1.4.2	607	VARIAÇÃO	DESP	RELAC	IBNR	-	JUD	-9.260,14	540,84	-0,3	540,54	-8.719,60		
														
3.1.9.3	57	DESPESAS	COM	RESSEGUROS	1.904.740,81	3.604.701,97	-1.682.297,49	1.922.404,48	3.827.145,29					
														
3.1.9.3.1	56	PREMIOS	DE	RESSEGUROS	1.710.758,52	3.141.190,31	-1.677.863,73	1.463.326,58	3.174.085,10					
														
3.1.9.3.1.1	59	DIRETO	1.730.372,25	3.129.645,78	-1.638.242,26	1.491.403,52	3.221.775,77							
														
3.1.9.3.1.1.1	61	RESSEGURADORA	LOCAL	1.877.742,16	3.117.149,20	-1.565.273,45	1.551.875,75	3.429.617,91						
3.1.9.3.1.1.1.1	62	PRÊMIOS	2.706.868,86	2.917.021,40	-689.956,21	2.227.065,19	4.933.934,05							
3.1.9.3.1.1.1.2	163	COMISSÕES	S/PRÊMIOS	CEDIDOS	EM	RESSEGURO	-829.126,70	200.127,80	-875.317,24	-675.189,44	-1.504.316,14			
														
3.1.9.3.1.1.2	324	RESSEGURADORA	ADMITIDA	-80.104,51	12.496,58	-72.968,81	-60.472,23	-140.576,74						
3.1.9.3.1.1.2.1	325	PRÊMIOS	-74.952,25	12.496,58	-68.595,01	-56.098,43	-131.050,68							
3.1.9.3.1.1.2.2	164	COMISSÕES	S/PRÊMIOS	CEDIDOS	EM	RESSEGURO	-5.152,26	0	-4.373,80	-4.373,80	-9.526,06			
3.1.9.3.1.1.3	326	RESSEGURADORA	EVENTUAL	-67.265,40	0	0	0	-67.265,40						
3.1.9.3.1.1.3.1	327	PRÊMIOS	-67.265,40	0	0	0	-67.265,40							
														
3.1.9.3.1.5	187	RESTITUIÇÃO	DE	RESSEGUROS	-19.830,47	10.356,30	-34.520,54	-24.164,24	-43.994,71					
3.1.9.3.1.5.1	188	RESSEGURADORA	LOCAL	-28.329,51	0	-34.520,54	-34.520,54	-62.850,05						
3.1.9.3.1.5.4	195	(-)	COMISSÃO	S/RESTITUIÇÃO	RESSEG	LOCAL	8.499,04	10.356,30	0	10.356,30	18.855,34			
														
3.1.9.3.1.6	633	PREMIOS	-	RISCOS	VIGENTES	NÃO	EMITIDOS	216,74	1.188,23	-5.100,93	-3.912,70	-3.695,96		
